# Le domande di Super Quiz, in italiano.
#   id;categoria;difficolta;domanda;giusta;sbagliata1;sbagliata2;sbagliata3;curiosita
# La difficolta' va da 1 a 3. L'identificativo e' lo stesso della
# banca inglese: la stessa domanda ha lo stesso numero, cosi' il
# conto di quelle gia' uscite vale per tutte e due le lingue.
# Puoi aggiungerne di tue mettendo un domande.it.csv nella cartella
# dati (/var/lib/dmd), con lo stesso formato. Quelle tue non vengono
# mai toccate dagli aggiornamenti.
#
# Fonte: OpenQuizzDB (openquizzdb.org) - CC BY-SA 4.0
# 1301 domande.
3-3;Harry Potter;1;"Dove vive la famiglia Dursley nella saga di ""Harry Potter""?";4 Privet Drive;4 Privet Road;4 Privet Avenue;4 Privet Square;Il cugino di Harry Potter, Dursley, è un ragazzo ribelle, violento e arrabbiato.
3-5;Harry Potter;1;"Qual è il cognome di Hermione nella saga di ""Harry Potter""?";Granger;Greengrass;Grindelwald;Gaunt;Hermione è la migliore amica di Harry Potter e Ron Weasley e risiede, durante i suoi anni scolastici, a Hogwarts, a casa dei Grifondoro.
3-6;Harry Potter;1;"Nella saga di ""Harry Potter"", un Babbano è qualcuno nato in una famiglia...";Senza magia;Senza soldi;Senza segreti;Senza figli;Negli esseri umani, i poteri magici vengono ereditati, trasmessi da alleli dominanti o recessivi.
3-11;Harry Potter;2;"Che forma assume lo spaventapasseri di Ron nella saga di ""Harry Potter""?";Un ragno;Un drago;Un lupo;Uno scorpione;Diciannove anni dopo la caduta di Voldemort, Ron e Hermione hanno due figli: Rose e suo fratello minore Hugo.
3-13;Harry Potter;2;"Quale attore interpreta Draco Malfoy in ""Harry Potter""?";Tom Felton;Rupert Grint;Robbie Coltrane;Jeff Rawle;Tom Felton ha iniziato una carriera musicale all'inizio del 2007 sotto lo pseudonimo di Feltbeats, guadagnando 3 milioni di fan su Instagram.
3-15;Harry Potter;2;"Qual è il nome del drago appartenente a Hagrid nella saga di ""Harry Potter""?";Norbert;Errol;Crockdur;Aragog;Hagrid, nato da un umano e un gigante, è stato uno dei primi personaggi creati da J. K. Rowling.
3-17;Harry Potter;2;"Quale materia insegna il professor Snape nella saga di ""Harry Potter""?";Pozioni;Incantesimo;Metamorfosi;Difesa;Un personaggio oscuro, orgoglioso, amareggiato e amareggiato, Snape ha una personalità complessa, ambigua e in qualche modo indecifrabile.
3-18;Harry Potter;2;"Qual è il primo nome di Hagrid, il mezzo gigante della saga di ""Harry Potter""?";Rubeus;Albus;Severus;Remus;Hagrid è un guardiacaccia e insegna Cura delle creature magiche dal volume 3 della saga.
3-20;Harry Potter;2;Chi ha dato a Harry Potter il Nimbus 2000 ad alte prestazioni?;M. McGonagall;S. Rogue;D. Malefoy;A. Dumbledore;Minerva McGonagall è a capo di Hogwarts e anche un'insegnante di Trasfigurazione.
3-21;Harry Potter;3;"Qual è la formula per la maledizione mortale nella saga di ""Harry Potter""?";Avada Kedavra;Mortibus Rem;Machina Fino;Post Mortem;Avada Kedavra provoca la morte istantanea, in un lampo di luce verde e un rumore simile a una folata di vento.
3-26;Harry Potter;3;"Qual è il nome della madre di Draco Malfoy in ""Harry Potter""?";Narcissa;Dolores;Lily;Bellatrix;I Malfoy e i Neri sono legati dal matrimonio tra Narcissa e Lucius, dove il giovane Draco è l'unico erede.
3-27;Harry Potter;3;A Hogwarts, a che piano si trova la sala on demand?;Settimo piano;Secondo piano;Undicesimo piano;Ventesimo piano;Un gran numero di passaggi nascosti, scale e ritratti di pittura in movimento rendono l'edificio piuttosto misterioso.
3-28;Harry Potter;3;Qual è il primo regalo di Natale che Hagrid offre a Harry Potter?;Flauto;Baguette;Gufo;Chiave;Hagrid, membro dell'Ordine della Fenice, fu cresciuto a Hogwarts nella Casa dei Grifondoro, dove arrivò nel 1940.
3-29;Harry Potter;3;Qual è il segno zodiacale del giovane Harry Potter, nato nel 1980?;Leone;Vergine;Bilancia;Toro;Harry James Potter è nato il 31 luglio 1980 e quindi ha lo stesso compleanno di J. K. Rowling.
8-2;Tutankhamon;1;Che professione faceva Howard Carter, figlio del pittore di animali Samuel John Carter?;Archeologo;Fisico;Giornalista;Decoratore;Howard Carter è meglio conosciuto per aver scoperto la tomba di Tutankhamon nel 1922.
8-3;Tutankhamon;1;Quanti sarcofagi hanno protetto la mummia di Tutankhamon?;Tre;Due;Quattro;Cinque;Alla fine dei settanta giorni, Tutankhamon sarà sepolto, secondo i riti funebri reali.
8-4;Tutankhamon;1;Di che materiale è fatta la maschera mortuaria di Tutankhamon?;Oro;Bronzo;Intonaco;Denaro;Sul volto di Tutankhamon è ripiegata una maschera d'oro fine i cui tratti ricordano il volto della regina Tiyi.
8-5;Tutankhamon;1;Quale materiale prezioso ha evocato il dio Sole per gli egiziani?;Oro;Platino;Titanio;Palladio;Nella mitologia egizia, Ra (o Ra) è il dio del disco solare e il creatore dell'universo.
8-8;Tutankhamon;1;Con quale tecnica gli egiziani aprirono all'anima il mondo sotterraneo?;Imbalsamazione;Dissezione;Cremazione;Appeso;Nell'antico Egitto, gli imbalsamatori sono anche chiamati taricheutes, che significa carne conservata, corpo imbalsamato.
8-9;Tutankhamon;1;Nell'antico Egitto quale dimora era essenziale per la vita eterna?;Sarcofago;Battistero;Mausoleo;Colombarium;Molto spesso scolpito nella pietra e posto sopra il terreno, il sarcofago è talvolta sepolto.
8-11;Tutankhamon;2;Qual è il peso della maschera funeraria in oro massiccio dalla bara di Tutankhamon?;11 kg;8 kg;5 kg;2 kg;Questa scultura, scoperta nel 1925, è un vero capolavoro dell'oreficeria egizia.
8-12;Tutankhamon;2;Sulla maschera di Tutankhamon, quale animale respinge i nemici con il suo respiro?;Cobra;Cavallo;Dragon;Scorpione;Nella mitologia egizia, Wadjet è una dea cobra protettiva del Basso Egitto.
8-13;Tutankhamon;2;Cosa simboleggia la falsa barba della maschera funebre di Tutankhamon?;Immortalità;Potenza;Gloria;Posterità;Nell'antico Egitto, la barba finta è uno degli attributi che il faraone condivide con gli dei.
8-14;Tutankhamon;2;Quale materiale prezioso simboleggia le ossa del faraone defunto?;Denaro;Oro;Platino;Bronzo;Le mostre dedicate a Tutankhamon registrano molto regolarmente un notevole successo popolare.
8-15;Tutankhamon;2;Quale mecenate ha finanziato lo scavo di Howard Carter della tomba di Tutankhamon?;Lord Carnarvon;Thomas Young;Harry Burton;Geoffrey Martin;Lord Carnarvon si sposò nel 1895 con la ricchissima Almina Wombwell, figlia naturale del banchiere Alfred de Rothschild.
8-16;Tutankhamon;2;Chi fu riservato per la prima volta all'imbalsamazione sotto l'antico impero egiziano?;Ai faraoni;Agli scribi;Ai sacerdoti;Agli animali;L'imbalsamazione si riferisce a tutte le tecniche volte a preservare i corpi dei defunti.
8-17;Tutankhamon;2;Quanti gradini scendono alla porta d'ingresso della tomba di Tutankhamon?;Sedici;Trenta;Quattro;Cinquanta;Da lì, un corridoio conduce ad una porta che chiude l'ingresso alla prima stanza, chiamata anticamera da Carter.
8-18;Tutankhamon;2;Come si chiamava la prima stanza della tomba di Tutankhamon?;Anticamera;Vestibolo;Riserva;Dormitorio;Quando è stato scoperto, l'anticamera conteneva più di 700 stanze ammucchiate insieme.
8-19;Tutankhamon;2;Come è stata quasi carbonizzata la mummia di Tutankhamon?;Unguenti;Soffre;Natron;Bronzo;È infatti dagli unguenti versati al momento della sepoltura che la mummia era quasi carbonizzata.
8-20;Tutankhamon;2;Quante figlie morte prematuramente avrebbe avuto il faraone Tutankhamon?;Due;Tre;Quattro;Cinque;L'esame delle loro mummie nel 2011 ha rivelato che uno dei feti è morto a cinque o sei mesi di gravidanza.
8-21;Tutankhamon;3;Chi ha scoperto la tomba di Tutankhamon nel 1922?;Howard Carter;Somers Clarke;Henry Salt;Alfred Lucas;Nel 1924 fece molte interviste negli Stati Uniti dove fu visto come una vera star.
8-22;Tutankhamon;3;Quale designazione egiziana è usata per la tomba di Tutankhamon?;KV62;MC23;DS36;ZX44;La visita alla tomba KV62 è soggetta ad un prezzo specifico che può variare a seconda della stagione.
8-23;Tutankhamon;3;Quante opere e mobili conteneva la tomba di Tutankhamon?;2.099;1.245;3.627;4.830;La camera del tesoro conteneva modelli di navi, numerose statue e due mummie di feti.
8-24;Tutankhamon;3;Quale nome porta il copricapo più emblematico dei faraoni?;Nemes;Pakol;Causia;Kippa;Il nemes è un copricapo in tessuto, abbastanza complesso, composto da più parti.
8-25;Tutankhamon;3;Quale dea protettrice del faraone si trova sulla maschera di Tutankhamon?;Nekhbet;Kekou;Miysis;Hathor;Nel suo ruolo di protettrice del faraone, Nekhbet è associata alla dea cobra Ouadjet, simbolo del Basso Egitto.
8-26;Tutankhamon;3;Quale minerale veniva spesso utilizzato per i gioielli funerari tra gli egiziani?;Ametista;Zircone;Granato;Opale;Il colore dell'ametista rimane stabile solo fino a 250 ° C. Oltre a ciò, la maggior parte delle ametiste scolorirà.
8-28;Tutankhamon;3;Quale minerale ha permesso agli egiziani di disidratare i tessuti umani?;Natron;Nickel;Litio;Bismuto;Gli egizi hanno osservato la somiglianza nella materia tra il natron purificato, riscaldato ed essiccato e la parte solubile in acqua.
8-29;Tutankhamon;3;Cosa abbiamo fatto scivolare sotto i volti delle mummie per ripristinare la loro forma?;Argilla;Gesso;Ocra;Carbone;Una mummia è un cadavere che è stato preservato dalla distruzione e dalla decomposizione.
18-1;Star Trek;1;"In ""Star Trek"", quale flotta è responsabile della difesa dei confini della Federazione?";Flotta Stellare;FedCon;Cardassia;Klingon;La missione principale della Flotta Stellare è raccogliere quante più informazioni possibili sull'Universo.
18-2;Star Trek;1;"Quale parola era usata alla fine degli anni '60 per riferirsi ai fan della serie ""Star Trek""?";Trekkies;Spockies;Anni Sessanta;Friendies;A volte il termine trekkie viene sostituito da trekker, che per alcuni ha una connotazione meno peggiorativa.
18-3;Star Trek;1;Quale attore rimane inseparabile dalle prime avventure del capitano James T. Kirk?;William Shatner;DeForest Kelley;Leonard Nimoy;James Doohan;"William Shatner ha scritto diversi libri della serie ""Star Trek"", pubblicata in francese dalle edizioni Fleuve Noir."
18-4;Star Trek;1;"Nell'universo di ""Star Trek"", quale fisico è anche un ottimo timoniere?";Sulu;McCoy;Uhura;Chekov;Potrebbe essere che Hikaru Sulu sia una distorsione di Hikari utsuru, che evoca il movimento alla velocità della luce.
18-5;Star Trek;1;"Qual è il gadget tecnologico più iconico della saga di ""Star Trek""?";Teletrasporto;Planitron;Telecran;Cubo cosmico;Il teletrasporto viene normalmente eseguito da una piattaforma di teletrasporto a una determinata posizione.
18-8;Star Trek;1;"In ""Star Trek"", quale membro dell'equipaggio è di origini afroamericane?";Uhura;Chekov;Cappella;McCoy;Nel corso del tempo, il suo nome viene completato e diventa Nyota Upende Uhura, che significa star-amore-libertà in swahili.
18-9;Star Trek;1;"Chi ha sostituito Leonard Nimoy negli ultimi lungometraggi di ""Star Trek""?";Zachary Quinto;Chris Pine;Jonathan Frakes;Avery Brooks;"Il 16 ottobre 2011, l'attore ha parlato per la prima volta della sua omosessualità in un'intervista al ""New York Magazine""."
18-10;Star Trek;1;"Qual è il soprannome dell'ingegnere della Scottish Enterprise nella saga di ""Star Trek""?";Scotty;Jimmy;Benny;Vinny;Montgomery Scott, soprannominato Scotty, ha due amori: la sua Enterprise, che coccola con cura, e il whisky.
18-11;Star Trek;2;"Chi è lo scrittore dietro la creazione dell'universo di ""Star Trek""?";Gene Roddenberry;David Jacobs;Ed Burns;William Stuart;L'asteroide 4659 Roddenberry e un cratere da impatto su Marte, Roddenberry Crater, sono entrambi chiamati in suo onore.
18-14;Star Trek;2;"Chi ha sostituito William Shatner negli ultimi lungometraggi di ""Star Trek""?";Chris Pine;Zachary Quinto;Patrick Stewart;Brent Spiner;"Nel 2017, Chris Pine si unirà a un franchise di supereroi per il blockbuster ""Wonder Woman""."
