# Super Quiz questions, in English.
#   id;category;difficulty;question;right;wrong1;wrong2;wrong3;trivia
# Difficulty runs from 1 to 3. The id matches the Italian bank: the
# same question carries the same number, so the record of what has
# already been asked is shared between the two languages.
# You can add your own by putting a domande.en.csv in the data
# folder (/var/lib/dmd), same format. Yours are never touched by
# updates.
#
# Fonte: OpenQuizzDB (openquizzdb.org) - CC BY-SA 4.0
# 1301 domande.
3-3;Harry Potter;1;"Where does the Dursley family live in the ""Harry Potter"" saga?";4 Privet Drive;4 Privet Road;4 Privet Avenue;4 Privet Square;Harry Potter's cousin Dursley is an unruly, violent and angry boy.
3-5;Harry Potter;1;"What is Hermione's last name in the ""Harry Potter"" saga?";Granger;Greengrass;Grindelwald;Gaunt;Hermione is the best friend of Harry Potter and Ron Weasley, and resides, during her schooling, at Hogwarts, at the Gryffindor house.
3-6;Harry Potter;1;"In the ""Harry Potter"" saga, a Muggle is someone born into a family...";Without magic;Without money;Without secrets;Without children;In humans, magical powers are inherited, transmitted by dominant or recessive alleles.
3-11;Harry Potter;2;"What form does Ron's scarecrow take in the ""Harry Potter"" saga?";A spider;A dragon;A wolf;A scorpion;Nineteen years after Voldemort's fall, Ron and Hermione have two children: Rose and her younger brother Hugo.
3-13;Harry Potter;2;"Which actor plays Draco Malfoy in ""Harry Potter""?";Tom Felton;Rupert Grint;Robbie Coltrane;Jeff Rawle;Tom Felton began a musical career in early 2007 under the pseudonym Feltbeats, gaining 3 million fans on Instagram.
3-15;Harry Potter;2;"What is the name of the dragon belonging to Hagrid in the ""Harry Potter"" saga?";Norbert;Errol;Crockdur;Aragog;Hagrid, born of a human and a giant, was one of the first characters created by J. K. Rowling.
3-17;Harry Potter;2;"What subject does Professor Snape teach in the ""Harry Potter"" saga?";Potions;Enchantment;Metamorphosis;Defense;A dark, proud, embittered, and bitter character, Snape has a complex, ambiguous, and somewhat indecipherable personality.
3-18;Harry Potter;2;"What is the first name of Hagrid, the half-giant of the ""Harry Potter"" saga?";Rubeus;Albus;Severus;Remus;Hagrid is a game warden and has been teaching Care of Magical Creatures since volume 3 of the saga.
3-20;Harry Potter;2;Who gave Harry Potter the high-performing Nimbus 2000?;M. McGonagall;S. Rogue;D. Malefoy;A. Dumbledore;Minerva McGonagall is Head of Hogwarts and also a Transfiguration teacher.
3-21;Harry Potter;3;"What is the formula for the killing curse in the ""Harry Potter"" saga?";Avada Kedavra;Mortibus Rem;Machina Fino;Post Mortem;Avada Kedavra causes instant death, in a flash of green light and a sound similar to a gust of wind.
